0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1
2,0,1,0,0,0,0,0,2,0
3,2,0,0,2,0,0,0,0,0
4,0,0,3,0,0,3,0,0,0
5,0,4,0,0,4,0,0,4,0
6,0,0,0,5,0,0,5,0,0
7,0,0,0,0,0,6,0,0,6
8,0,6,0,0,0,0,0,7,0
9,7,0,0,7,0,0,0,0,0
10,0,0,8,0,0,8,0,0,0
11,0,9,0,0,9,0,0,9,0
12,0,0,0,0,1,0,0,1,0
13,0,0,0,0,0,1,1,0,1
14,0,11,0,0,0,0,0,2,1
15,2,1,0,12,0,0,0,0,0
16,1,0,3,1,0,13,0,0,0
17,0,4,1,0,4,1,0,14,0
18,0,0,0,5,1,0,5,1,0
19,0,0,0,0,0,6,1,0,6
20,0,16,0,0,0,0,0,7,1
21,7,1,0,17,0,0,0,0,0
22,1,0,8,1,0,18,0,0,0
23,0,9,1,0,9,1,0,19,0
24,0,0,0,0,2,0,0,2,0
25,0,0,0,0,0,1,2,0,1
26,0,21,0,0,0,0,0,2,2
27,2,2,0,22,0,0,0,0,0
28,2,0,3,2,0,23,0,0,0
29,0,4,2,0,4,2,0,24,0
30,0,0,0,5,2,0,5,2,0
31,0,0,0,0,0,6,2,0,6
32,0,26,0,0,0,0,0,7,2
33,7,2,0,27,0,0,0,0,0
34,2,0,8,2,0,28,0,0,0
35,0,9,2,0,9,2,0,29,0
36,0,0,0,0,0,1,0,0,1
37,0,0,0,0,0,1,0,1,1
38,1,31,0,0,0,0,0,2,0
39,2,0,1,32,0,0,0,0,0
40,0,1,3,0,1,33,0,0,0
41,0,4,0,1,4,0,1,34,0
42,0,0,0,5,0,1,5,0,1
43,0,0,0,0,0,6,0,1,6
44,1,36,0,0,0,0,0,7,0
45,7,0,1,37,0,0,0,0,0
46,0,1,8,0,1,38,0,0,0
47,0,9,0,1,9,0,1,39,0
48,0,0,0,0,1,1,0,1,1
49,0,0,0,0,0,1,1,1,1
50,1,41,0,0,0,0,0,2,1
51,2,1,1,42,0,0,0,0,0
52,1,1,3,1,1,43,0,0,0
53,0,4,1,1,4,1,1,44,0
54,0,0,0,5,1,1,5,1,1
55,0,0,0,0,0,6,1,1,6
56,1,46,0,0,0,0,0,7,1
57,7,1,1,47,0,0,0,0,0
58,1,1,8,1,1,48,0,0,0
59,0,9,1,1,9,1,1,49,0
60,0,0,0,0,2,1,0,2,1
61,0,0,0,0,0,1,2,1,1
62,1,51,0,0,0,0,0,2,2
63,2,2,1,52,0,0,0,0,0
64,2,1,3,2,1,53,0,0,0
65,0,4,2,1,4,2,1,54,0
66,0,0,0,5,2,1,5,2,1
67,0,0,0,0,0,6,2,1,6
68,1,56,0,0,0,0,0,7,2
69,7,2,1,57,0,0,0,0,0
70,2,1,8,2,1,58,0,0,0
71,0,9,2,1,9,2,1,59,0
72,0,0,0,0,0,2,0,0,2
73,0,0,0,0,0,1,0,2,1
74,2,61,0,0,0,0,0,2,0
75,2,0,2,62,0,0,0,0,0
76,0,2,3,0,2,63,0,0,0
77,0,4,0,2,4,0,2,64,0
78,0,0,0,5,0,2,5,0,2
79,0,0,0,0,0,6,0,2,6
80,2,66,0,0,0,0,0,7,0
81,7,0,2,67,0,0,0,0,0
82,0,2,8,0,2,68,0,0,0
83,0,9,0,2,9,0,2,69,0
84,0,0,0,0,1,2,0,1,2
85,0,0,0,0,0,1,1,2,1
86,2,71,0,0,0,0,0,2,1
87,2,1,2,72,0,0,0,0,0
88,1,2,3,1,2,73,0,0,0
89,0,4,1,2,4,1,2,74,0
90,0,0,0,5,1,2,5,1,2
91,0,0,0,0,0,6,1,2,6
92,2,76,0,0,0,0,0,7,1
93,7,1,2,77,0,0,0,0,0
94,1,2,8,1,2,78,0,0,0
95,0,9,1,2,9,1,2,79,0
96,0,0,0,0,2,2,0,2,2
97,0,0,0,0,0,1,2,2,1
98,2,81,0,0,0,0,0,2,2
99,2,2,2,82,0,0,0,0,0
100,2,2,3,2,2,83,0,0,0
101,0,4,2,2,4,2,2,84,0
102,0,0,0,5,2,2,5,2,2
103,0,0,0,0,0,6,2,2,6
104,2,86,0,0,0,0,0,7,2
105,7,2,2,87,0,0,0,0,0
106,2,2,8,2,2,88,0,0,0
107,0,9,2,2,9,2,2,89,0
108,0,0,0,0,0,3,0,0,3
109,0,0,0,0,0,1,0,3,1
110,3,91,0,0,0,0,0,2,0
111,2,0,3,92,0,0,0,0,0
112,0,3,3,0,3,93,0,0,0
113,0,4,0,3,4,0,3,94,0
114,0,0,0,5,0,3,5,0,3
115,0,0,0,0,0,6,0,3,6
116,3,96,0,0,0,0,0,7,0
117,7,0,3,97,0,0,0,0,0
